(byte: 00 | bit: 0 | Sbox_index: 0 | index: 78160 | nb shares: 10)  00 =>  0.185789  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 1 | index: 77455 | nb shares: 2)  00 =>  0.089309  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 2 | index: 78795 | nb shares: 2)  00 =>  0.163625  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 3 | index: 78005 | nb shares: 2)  00 =>  0.170143  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 4 | index: 97001 | nb shares: 11)  00 =>  0.072360  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 5 | index: 77068 | nb shares: 2)  00 =>  0.104954  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 6 | index: 77428 | nb shares: 3)  00 =>  0.097132  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 7 | index: 78215 | nb shares: 2)  00 =>  0.102347  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 8 | index: 77481 | nb shares: 6)  00 =>  0.094524  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 9 | index: 77766 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 10 | index: 87228 | nb shares: 18)  00 =>  0.077575  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 11 | index: 78672 | nb shares: 3)  00 =>  0.101043  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 12 | index: 77056 | nb shares: 2)  00 =>  0.104954  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 13 | index: 78472 | nb shares: 2)  00 =>  0.069752  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 14 | index: 77008 | nb shares: 6)  00 =>  0.155802  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 15 | index: 80471 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 16 | index: 83116 | nb shares: 4)  00 =>  0.074967  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 17 | index: 88343 | nb shares: 3)  00 =>  0.072360  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 18 | index: 77676 | nb shares: 3)  a5 =>  0.490874  /  0.192308
(byte: 00 | bit: 0 | Sbox_index: 19 | index: 77998 | nb shares: 6)  a5 =>  0.455671  /  0.183181
(byte: 00 | bit: 0 | Sbox_index: 20 | index: 80928 | nb shares: 3)  a5 =>  0.361799  /  0.166232
(byte: 00 | bit: 0 | Sbox_index: 21 | index: 77829 | nb shares: 3)  a5 =>  0.218383  /  0.111473
(byte: 00 | bit: 0 | Sbox_index: 22 | index: 80135 | nb shares: 3)  a5 =>  0.228814  /  0.134941
(byte: 00 | bit: 0 | Sbox_index: 23 | index: 77829 | nb shares: 3)  a5 =>  0.493481  /  0.153194
(byte: 00 | bit: 0 | Sbox_index: 24 | index: 77405 | nb shares: 3)  a5 =>  0.432203  /  0.131030
(byte: 00 | bit: 0 | Sbox_index: 25 | index: 79524 | nb shares: 3)  a5 =>  0.230117  /  0.154498
(byte: 00 | bit: 0 | Sbox_index: 26 | index: 77676 | nb shares: 3)  a5 =>  0.245763  /  0.131030
(byte: 00 | bit: 0 | Sbox_index: 27 | index: 77428 | nb shares: 3)  a5 =>  0.231421  /  0.131030
(byte: 00 | bit: 0 | Sbox_index: 28 | index: 77998 | nb shares: 6)  a5 =>  0.232725  /  0.108866
(byte: 00 | bit: 0 | Sbox_index: 29 | index: 77455 | nb shares: 2)  00 =>  0.089309  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 30 | index: 80737 | nb shares: 3)  a5 =>  0.264016  /  0.136245
(byte: 00 | bit: 0 | Sbox_index: 31 | index: 78005 | nb shares: 2)  00 =>  0.170143  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 32 | index: 77405 | nb shares: 3)  a5 =>  0.231421  /  0.121904
(byte: 00 | bit: 0 | Sbox_index: 33 | index: 77068 | nb shares: 2)  00 =>  0.104954  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 34 | index: 77676 | nb shares: 3)  a5 =>  0.217080  /  0.129726
(byte: 00 | bit: 0 | Sbox_index: 35 | index: 78215 | nb shares: 2)  00 =>  0.102347  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 36 | index: 79524 | nb shares: 3)  a5 =>  0.240548  /  0.132334
(byte: 00 | bit: 0 | Sbox_index: 37 | index: 77766 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 38 | index: 77676 | nb shares: 3)  a5 =>  0.245763  /  0.131030
