byte: 0 | bit: 0 | key guess: 00 | Cor: 0.282494 ==> correct key: 0.282494
byte: 0 | bit: 1 | key guess: 00 | Cor: 0.258452 ==> correct key: 0.258452
byte: 0 | bit: 2 | key guess: 00 | Cor: 0.219179 ==> correct key: 0.219179
byte: 0 | bit: 3 | key guess: 00 | Cor: 0.282948 ==> correct key: 0.282948
byte: 0 | bit: 4 | key guess: 00 | Cor: 0.351831 ==> correct key: 0.351831
byte: 0 | bit: 5 | key guess: 00 | Cor: 0.367738 ==> correct key: 0.367738
byte: 0 | bit: 6 | key guess: 00 | Cor: 0.265657 ==> correct key: 0.265657
byte: 0 | bit: 7 | key guess: 00 | Cor: 0.282494 ==> correct key: 0.282494
byte: 0 | bit: 8 | key guess: 00 | Cor: 0.290565 ==> correct key: 0.290565
byte: 0 | bit: 9 | key guess: 00 | Cor: 0.321977 ==> correct key: 0.321977
byte: 0 | bit: 10 | key guess: 00 | Cor: 0.289142 ==> correct key: 0.289142
byte: 0 | bit: 11 | key guess: 00 | Cor: 0.258009 ==> correct key: 0.258009
byte: 0 | bit: 12 | key guess: 00 | Cor: 0.289142 ==> correct key: 0.289142
byte: 0 | bit: 13 | key guess: 00 | Cor: 0.297020 ==> correct key: 0.297020
byte: 0 | bit: 14 | key guess: 00 | Cor: 0.258009 ==> correct key: 0.258009
byte: 0 | bit: 15 | key guess: 00 | Cor: 0.344423 ==> correct key: 0.344423
byte: 0 | bit: 16 | key guess: 00 | Cor: 0.234490 ==> correct key: 0.234490
byte: 0 | bit: 17 | key guess: 00 | Cor: 0.281560 ==> correct key: 0.281560
byte: 0 | bit: 18 | key guess: 0a | Cor: 0.330283 ==> correct key: 0.289148
byte: 0 | bit: 19 | key guess: 2e | Cor: 0.293493 ==> correct key: 0.285933
byte: 0 | bit: 20 | key guess: 11 | Cor: 0.305783 ==> correct key: 0.275517
byte: 0 | bit: 21 | key guess: 4d | Cor: 0.318737 ==> correct key: 0.250316
byte: 0 | bit: 22 | key guess: a5 | Cor: 0.372549 ==> correct key: 0.372549
byte: 0 | bit: 23 | key guess: 66 | Cor: 0.323477 ==> correct key: 0.258815
byte: 0 | bit: 24 | key guess: d0 | Cor: 0.310456 ==> correct key: 0.262745
byte: 0 | bit: 25 | key guess: df | Cor: 0.306788 ==> correct key: 0.225681
byte: 0 | bit: 26 | key guess: 05 | Cor: 0.299560 ==> correct key: 0.276057
byte: 0 | bit: 27 | key guess: 62 | Cor: 0.299560 ==> correct key: 0.283897
byte: 0 | bit: 28 | key guess: cf | Cor: 0.316395 ==> correct key: 0.277757
byte: 0 | bit: 29 | key guess: 00 | Cor: 0.258452 ==> correct key: 0.258452
byte: 0 | bit: 30 | key guess: ce | Cor: 0.315223 ==> correct key: 0.250316
byte: 0 | bit: 31 | key guess: 00 | Cor: 0.282948 ==> correct key: 0.282948
byte: 0 | bit: 32 | key guess: 0c | Cor: 0.315136 ==> correct key: 0.268233
byte: 0 | bit: 33 | key guess: 00 | Cor: 0.367738 ==> correct key: 0.367738
byte: 0 | bit: 34 | key guess: a5 | Cor: 0.329786 ==> correct key: 0.329786
byte: 0 | bit: 35 | key guess: 00 | Cor: 0.282494 ==> correct key: 0.282494
byte: 0 | bit: 36 | key guess: 4c | Cor: 0.352751 ==> correct key: 0.270588
byte: 0 | bit: 37 | key guess: 00 | Cor: 0.321977 ==> correct key: 0.321977
byte: 0 | bit: 38 | key guess: 05 | Cor: 0.299560 ==> correct key: 0.276057
byte: 0 | bit: 39 | key guess: 00 | Cor: 0.258009 ==> correct key: 0.258009
byte: 0 | bit: 40 | key guess: 09 | Cor: 0.309804 ==> correct key: 0.290127
byte: 0 | bit: 41 | key guess: 00 | Cor: 0.297020 ==> correct key: 0.297020
byte: 0 | bit: 42 | key guess: a5 | Cor: 0.325149 ==> correct key: 0.325149
byte: 0 | bit: 43 | key guess: 00 | Cor: 0.344423 ==> correct key: 0.344423
