byte: 0 | bit: 0 | key guess: d5 | Cor: 0.328285
byte: 0 | bit: 1 | key guess: 56 | Cor: 0.320557
byte: 0 | bit: 2 | key guess: b6 | Cor: 0.314386
byte: 0 | bit: 3 | key guess: 42 | Cor: 0.298667
byte: 0 | bit: 4 | key guess: 8c | Cor: 0.305819
byte: 0 | bit: 5 | key guess: f9 | Cor: 0.298188
byte: 0 | bit: 6 | key guess: 58 | Cor: 0.321502
byte: 0 | bit: 7 | key guess: fc | Cor: 0.314386
byte: 1 | bit: 0 | key guess: 05 | Cor: 0.351659
byte: 1 | bit: 1 | key guess: 0d | Cor: 0.312500
byte: 1 | bit: 2 | key guess: 9b | Cor: 0.291646
byte: 1 | bit: 3 | key guess: b9 | Cor: 0.284073
byte: 1 | bit: 4 | key guess: d9 | Cor: 0.304771
byte: 1 | bit: 5 | key guess: 43 | Cor: 0.320256
byte: 1 | bit: 6 | key guess: 52 | Cor: 0.290136
byte: 1 | bit: 7 | key guess: 5c | Cor: 0.316386
byte: 2 | bit: 0 | key guess: 53 | Cor: 0.283473
byte: 2 | bit: 1 | key guess: a9 | Cor: 0.298188
byte: 2 | bit: 2 | key guess: 35 | Cor: 0.313882
byte: 2 | bit: 3 | key guess: ee | Cor: 0.328125
byte: 2 | bit: 4 | key guess: 12 | Cor: 0.305443
byte: 2 | bit: 5 | key guess: 4e | Cor: 0.313112
byte: 2 | bit: 6 | key guess: 9b | Cor: 0.299222
byte: 2 | bit: 7 | key guess: 32 | Cor: 0.320793
byte: 3 | bit: 0 | key guess: cd | Cor: 0.311701
byte: 3 | bit: 1 | key guess: 66 | Cor: 0.289496
byte: 3 | bit: 2 | key guess: 2c | Cor: 0.299222
byte: 3 | bit: 3 | key guess: 1d | Cor: 0.298188
byte: 3 | bit: 4 | key guess: 0b | Cor: 0.308873
byte: 3 | bit: 5 | key guess: 10 | Cor: 0.312538
byte: 3 | bit: 6 | key guess: 15 | Cor: 0.337684
byte: 3 | bit: 7 | key guess: ae | Cor: 0.305443
byte: 4 | bit: 0 | key guess: d5 | Cor: 0.328285
byte: 4 | bit: 1 | key guess: 84 | Cor: 0.320557
byte: 4 | bit: 2 | key guess: 57 | Cor: 0.304771
byte: 4 | bit: 3 | key guess: 32 | Cor: 0.297785
byte: 4 | bit: 4 | key guess: 7d | Cor: 0.305381
byte: 4 | bit: 5 | key guess: ea | Cor: 0.328768
byte: 4 | bit: 6 | key guess: ec | Cor: 0.320557
byte: 4 | bit: 7 | key guess: 1a | Cor: 0.297202
byte: 5 | bit: 0 | key guess: 05 | Cor: 0.351659
byte: 5 | bit: 1 | key guess: 8b | Cor: 0.314386
byte: 5 | bit: 2 | key guess: 9b | Cor: 0.291646
byte: 5 | bit: 3 | key guess: b9 | Cor: 0.313112
byte: 5 | bit: 4 | key guess: d9 | Cor: 0.304771
byte: 5 | bit: 5 | key guess: 43 | Cor: 0.320256
byte: 5 | bit: 6 | key guess: 52 | Cor: 0.290136
byte: 5 | bit: 7 | key guess: 5c | Cor: 0.316386
